Field;Value;Field;Value;Field;Value;Field;Value
MES;6;ANIO;2022;IRDA;/Yes;IRDAimpo;2,243.38
MES;6;ANIO;2022;IRDA;/Yes;IRDAimpo;0.38
MES;6;ANIO;2022;DC;/Yes;DCimpo;0.14
MES;5;ANIO;2022;IC2;/Yes;IC2impo;1,936.37
MES;5;ANIO;2022;IRDA;/Yes;IRDAimpo;2,297.75
MES;4;ANIO;2022;IC2;/Yes;IC2impo;1,977.70
MES;4;ANIO;2022;IC2;/Yes;IC2impo;0.71
MES;4;ANIO;2022;IC;/Yes;ICimpo;0.25
MES;4;ANIO;2022;IRDA;/Yes;IRDAimpo;2,346.80
MES;4;ANIO;2022;IRDA;/Yes;IRDAimpo;0.28
MES;4;ANIO;2022;DC;/Yes;DCimpo;0.10
MES;3;ANIO;2022;IC2;/Yes;IC2impo;2,017.62
MES;3;ANIO;2022;IC2;/Yes;IC2impo;0.43
MES;3;ANIO;2022;IC;/Yes;ICimpo;0.15
MES;3;ANIO;2022;IRDA;/Yes;IRDAimpo;2,394.17
MES;3;ANIO;2022;IRDA;/Yes;IRDAimpo;0.17
MES;3;ANIO;2022;DC;/Yes;DCimpo;0.06
MES;2;ANIO;2022;IC2;/Yes;IC2impo;2,063.84
MES;2;ANIO;2022;IC2;/Yes;IC2impo;55.87
MES;2;ANIO;2022;IC;/Yes;ICimpo;21.29
MES;2;ANIO;2022;IRDA;/Yes;IRDAimpo;2,449.01
MES;2;ANIO;2022;IRDA;/Yes;IRDAimpo;21.81
MES;2;ANIO;2022;DC;/Yes;DCimpo;8.31
MES;1;ANIO;2022;IC2;/Yes;IC2impo;1,691.02
MES;1;ANIO;2022;IRDA;/Yes;IRDAimpo;2,006.61
MES;12;ANIO;2021;IC2;/Yes;IC2impo;1,697.03
MES;12;ANIO;2021;IC2;/Yes;IC2impo;10.82
MES;12;ANIO;2021;IC;/Yes;ICimpo;4.12
MES;12;ANIO;2021;IRDA;/Yes;IRDAimpo;2,013.74
MES;12;ANIO;2021;IRDA;/Yes;IRDAimpo;4.02
MES;12;ANIO;2021;DC;/Yes;DCimpo;1.53
MES;11;ANIO;2021;IC2;/Yes;IC2impo;1,641.66
MES;11;ANIO;2021;IC2;/Yes;IC2impo;45.31
MES;11;ANIO;2021;IC2;/Yes;IC2impo;155.43
MES;11;ANIO;2021;IC2;/Yes;IC2impo;45.31
MES;11;ANIO;2021;IC;/Yes;ICimpo;17.26
MES;11;ANIO;2021;IC;/Yes;ICimpo;57.93
MES;11;ANIO;2021;IC;/Yes;ICimpo;17.26
MES;11;ANIO;2021;IRDA;/Yes;IRDAimpo;1,948.04
MES;11;ANIO;2021;IC2;/Yes;IC2impo;25.07
MES;11;ANIO;2021;IC2;/Yes;IC2impo;25.07
MES;11;ANIO;2021;IC;/Yes;ICimpo;9.55
MES;11;ANIO;2021;IC;/Yes;ICimpo;9.55
MES;11;ANIO;2021;IRDA;/Yes;IRDAimpo;86.00
MES;11;ANIO;2021;DC;/Yes;DCimpo;32.05
MES;10;ANIO;2021;IC2;/Yes;IC2impo;1,946.07
MES;10;ANIO;2021;IC2;/Yes;IC2impo;9.14
MES;10;ANIO;2021;IC;/Yes;ICimpo;3.48
MES;10;ANIO;2021;IRDA;/Yes;IRDAimpo;2,309.26
MES;10;ANIO;2021;IRDA;/Yes;IRDAimpo;3.31
MES;10;ANIO;2021;DC;/Yes;DCimpo;1.26
MES;9;ANIO;2021;IC2;/Yes;IC2impo;1,979.86
MES;9;ANIO;2021;IC2;/Yes;IC2impo;9.91
MES;9;ANIO;2021;IC;/Yes;ICimpo;3.77
MES;9;ANIO;2021;IRDA;/Yes;IRDAimpo;2,349.36
MES;9;ANIO;2021;IRDA;/Yes;IRDAimpo;3.55
MES;9;ANIO;2021;DC;/Yes;DCimpo;1.35
MES;8;ANIO;2021;IC2;/Yes;IC2impo;2,013.65
MES;8;ANIO;2021;IRDA;/Yes;IRDAimpo;2,389.46
MES;7;ANIO;2021;IC2;/Yes;IC2impo;2,045.18
MES;7;ANIO;2021;IC2;/Yes;IC2impo;18.20
MES;7;ANIO;2021;IC;/Yes;ICimpo;6.92
MES;7;ANIO;2021;IRDA;/Yes;IRDAimpo;2,426.87
MES;7;ANIO;2021;IRDA;/Yes;IRDAimpo;6.39
MES;7;ANIO;2021;DC;/Yes;DCimpo;2.43
MES;6;ANIO;2021;IC2;/Yes;IC2impo;2,081.24
